('30/05/2022 16:59:03', '470', '369')
('30/05/2022 16:59:04', '464', '251')
('30/05/2022 16:59:06', '460', '208')
('30/05/2022 16:59:07', '442', '342')
('30/05/2022 16:59:08', '403', '287')
('30/05/2022 16:59:09', '365', '420')
('30/05/2022 16:59:10', '337', '3')
('30/05/2022 16:59:12', '358', '237')
('30/05/2022 16:59:13', '350', '207')
('30/05/2022 16:59:14', '366', '205')
('30/05/2022 16:59:15', '327', '186')
('30/05/2022 16:59:17', '390', '310')
('30/05/2022 16:59:18', '336', '836')
('30/05/2022 16:59:19', '307', '210')
('30/05/2022 16:59:20', '417', '1')
('30/05/2022 16:59:22', '426', '176')
('30/05/2022 16:59:23', '417', '226')
('30/05/2022 16:59:24', '459', '199')
('30/05/2022 16:59:25', '436', '47')
('30/05/2022 16:59:27', '439', '118')
('30/05/2022 16:59:28', '436', '97')
('30/05/2022 16:59:29', '400', '18')
('30/05/2022 16:59:30', '432', '321')
('30/05/2022 16:59:32', '434', '5')
('30/05/2022 16:59:33', '435', '103')
('30/05/2022 16:59:34', '431', '210')
('30/05/2022 16:59:35', '464', '27')
('30/05/2022 16:59:37', '431', '86')
('30/05/2022 16:59:38', '429', '7')
('30/05/2022 16:59:39', '425', '1')
('30/05/2022 16:59:40', '416', '263')
('30/05/2022 16:59:41', '423', '199')
('30/05/2022 16:59:43', '423', '1')
('30/05/2022 16:59:44', '432', '415')
('30/05/2022 16:59:45', '433', '15')
('30/05/2022 16:59:46', '427', '142')
('30/05/2022 16:59:48', '428', '38')
('30/05/2022 16:59:49', '405', '242')
('30/05/2022 16:59:50', '423', '229')
('30/05/2022 16:59:51', '409', '1')
('30/05/2022 16:59:52', '416', '299')
('30/05/2022 16:59:54', '402', '2')
('30/05/2022 16:59:55', '405', '1')
('30/05/2022 16:59:56', '402', '1')
('30/05/2022 16:59:57', '401', '5')
('30/05/2022 16:59:59', '410', '264')
('30/05/2022 17:00:00', '400', '4')
('30/05/2022 17:00:01', '400', '156')
('30/05/2022 17:00:03', '399', '1')
('30/05/2022 17:00:04', '400', '100')
('30/05/2022 17:00:05', '400', '4')
('30/05/2022 17:00:06', '400', '3')
('30/05/2022 17:00:07', '393', '1')
('30/05/2022 17:00:08', '389', '4')
('30/05/2022 17:00:10', '391', '1')
('30/05/2022 17:00:11', '394', '2')
('30/05/2022 17:00:12', '389', '2')
('30/05/2022 17:00:13', '395', '2')
('30/05/2022 17:00:15', '385', '286')
('30/05/2022 17:00:16', '397', '92')
('30/05/2022 17:00:17', '386', '1')
('30/05/2022 17:00:18', '375', '97')
('30/05/2022 17:00:20', '393', '117')
('30/05/2022 17:00:21', '394', '149')
('30/05/2022 17:00:22', '389', '1')
('30/05/2022 17:00:23', '390', '314')
('30/05/2022 17:00:24', '384', '430')
('30/05/2022 17:00:26', '384', '197')
('30/05/2022 17:00:27', '383', '388')
('30/05/2022 17:00:28', '379', '3')
('30/05/2022 17:00:29', '385', '122')
('30/05/2022 17:00:30', '385', '3')
('30/05/2022 17:00:32', '377', '192')
('30/05/2022 17:00:33', '384', '1')
('30/05/2022 17:00:34', '389', '6')
('30/05/2022 17:00:35', '385', '3')
('30/05/2022 17:00:37', '399', '1')
('30/05/2022 17:00:38', '384', '1')
('30/05/2022 17:00:39', '399', '225')
('30/05/2022 17:00:40', '393', '2')
('30/05/2022 17:00:41', '394', '7')
('30/05/2022 17:00:43', '389', '235')
('30/05/2022 17:00:44', '383', '208')
('30/05/2022 17:00:45', '381', '192')
('30/05/2022 17:00:46', '383', '50')
('30/05/2022 17:00:48', '375', '241')
('30/05/2022 17:00:49', '382', '327')
('30/05/2022 17:00:50', '378', '207')
('30/05/2022 17:00:51', '375', '235')
('30/05/2022 17:00:52', '379', '27')
('30/05/2022 17:00:54', '373', '77')
('30/05/2022 17:00:55', '375', '82')
('30/05/2022 17:00:56', '371', '208')
('30/05/2022 17:00:57', '368', '327')
('30/05/2022 17:00:59', '368', '144')
('30/05/2022 17:01:00', '370', '235')
('30/05/2022 17:01:01', '369', '1')
('30/05/2022 17:01:02', '368', '5')
('30/05/2022 17:01:03', '366', '386')
('30/05/2022 17:01:05', '375', '223')
('30/05/2022 17:01:06', '368', '400')
('30/05/2022 17:01:07', '368', '2')
('30/05/2022 17:01:08', '371', '192')
('30/05/2022 17:01:09', '368', '415')
('30/05/2022 17:01:11', '368', '257')
('30/05/2022 17:01:12', '368', '213')
('30/05/2022 17:01:13', '378', '2')
('30/05/2022 17:01:14', '368', '313')
('30/05/2022 17:01:16', '368', '360')
('30/05/2022 17:01:17', '366', '246')
('30/05/2022 17:01:18', '368', '432')
('30/05/2022 17:01:19', '366', '7')
('30/05/2022 17:01:20', '367', '480')
('30/05/2022 17:01:22', '370', '199')
('30/05/2022 17:01:23', '367', '242')
('30/05/2022 17:01:24', '362', '261')
('30/05/2022 17:01:25', '364', '297')
('30/05/2022 17:01:26', '359', '1')
('30/05/2022 17:01:28', '367', '413')
('30/05/2022 17:01:29', '365', '111')
('30/05/2022 17:01:30', '367', '602')
